word,sfi,wordlist
speak,65.42,1 - NGSL,
within,65.40,1 - NGSL,
process,65.40,1 - NGSL,
public,65.35,1 - NGSL,
often,65.33,1 - NGSL,
train,65.29,1 - NGSL,
possible,65.28,1 - NGSL,
actually,65.28,1 - NGSL,
rather,65.27,1 - NGSL,
view,65.26,1 - NGSL,
together,65.24,1 - NGSL,
consider,65.24,1 - NGSL,
price,65.14,1 - NGSL,
parent,65.14,1 - NGSL,
hard,65.12,1 - NGSL,
party,65.08,1 - NGSL,
local,65.06,1 - NGSL,
control,65.05,1 - NGSL,
already,65.02,1 - NGSL,
concern,65.02,1 - NGSL,
product,65.01,1 - NGSL,
lose,65.00,1 - NGSL,
story,64.98,1 - NGSL,
almost,64.98,1 - NGSL,
continue,64.96,1 - NGSL,
stand,64.95,1 - NGSL,
whole,64.95,1 - NGSL,
yet,64.95,1 - NGSL,
rate,64.94,1 - NGSL,
care,64.93,1 - NGSL,
expect,64.93,1 - NGSL,
effect,64.93,1 - NGSL,
sort,64.92,1 - NGSL,
ever,64.92,1 - NGSL,
anything,64.92,1 - NGSL,
cause,64.90,1 - NGSL,
fall,64.89,1 - NGSL,
deal,64.89,1 - NGSL,
water,64.87,1 - NGSL,
send,64.86,1 - NGSL,
allow,64.84,1 - NGSL,
soon,64.84,1 - NGSL,
watch,64.80,1 - NGSL,
base,64.78,1 - NGSL,
probably,64.75,1 - NGSL,
suggest,64.74,1 - NGSL,
past,64.73,1 - NGSL,
power,64.72,1 - NGSL,
test,64.71,1 - NGSL,
visit,64.70,1 - NGSL,
center,64.70,1 - NGSL,
grow,64.69,1 - NGSL,
nothing,64.68,1 - NGSL,
return,64.68,1 - NGSL,
mother,64.67,1 - NGSL,
walk,64.63,1 - NGSL,
matter,64.63,1 - NGSL,
mind,64.62,1 - NGSL,
value,64.61,1 - NGSL,
office,64.59,1 - NGSL,
record,64.59,1 - NGSL,
stay,64.57,1 - NGSL,
force,64.57,1 - NGSL,
stop,64.55,1 - NGSL,
several,64.54,1 - NGSL,
light,64.53,1 - NGSL,
develop,64.51,1 - NGSL,
remember,64.50,1 - NGSL,
bit,64.49,1 - NGSL,
share,64.48,1 - NGSL,
real,64.47,1 - NGSL,
answer,64.46,1 - NGSL,
sit,64.44,1 - NGSL,
figure,64.43,1 - NGSL,
letter,64.43,1 - NGSL,
decide,64.41,1 - NGSL,
language,64.39,1 - NGSL,
subject,64.35,1 - NGSL,
class,64.35,1 - NGSL,
development,64.31,1 - NGSL,
town,64.31,1 - NGSL,
half,64.29,1 - NGSL,
minute,64.28,1 - NGSL,
food,64.28,1 - NGSL,
break,64.28,1 - NGSL,
clear,64.25,1 - NGSL,
future,64.24,1 - NGSL,
either,64.24,1 - NGSL,
ago,64.24,1 - NGSL,
per,64.24,1 - NGSL,
remain,64.24,1 - NGSL,
top,64.23,1 - NGSL,
among,64.23,1 - NGSL,
win,64.21,1 - NGSL,
