word,sfi,wordlist
accuse,56.36,1 - NGSL,
scientific,56.35,1 - NGSL,
wage,56.35,1 - NGSL,
absence,56.35,1 - NGSL,
construct,56.33,1 - NGSL,
remark,56.33,1 - NGSL,
medicine,56.33,1 - NGSL,
professor,56.33,1 - NGSL,
rare,56.33,1 - NGSL,
intention,56.33,1 - NGSL,
dozen,56.32,1 - NGSL,
settlement,56.32,1 - NGSL,
gap,56.32,1 - NGSL,
widely,56.30,1 - NGSL,
minimum,56.30,1 - NGSL,
northern,56.30,1 - NGSL,
estate,56.30,1 - NGSL,
equally,56.29,1 - NGSL,
expose,56.29,1 - NGSL,
alive,56.29,1 - NGSL,
shut,56.28,1 - NGSL,
victory,56.27,1 - NGSL,
resolve,56.27,1 - NGSL,
critic,56.27,1 - NGSL,
variable,56.26,1 - NGSL,
enormous,56.26,1 - NGSL,
sweet,56.26,1 - NGSL,
permanent,56.25,1 - NGSL,
emotion,56.25,1 - NGSL,
pursue,56.25,1 - NGSL,
tall,56.24,1 - NGSL,
urge,56.24,1 - NGSL,
enemy,56.24,1 - NGSL,
appoint,56.23,1 - NGSL,
milk,56.23,1 - NGSL,
talent,56.23,1 - NGSL,
smell,56.22,1 - NGSL,
prior,56.22,1 - NGSL,
priority,56.22,1 - NGSL,
online,56.22,1 - NGSL,
phrase,56.19,1 - NGSL,
pilot,56.19,1 - NGSL,
stable,56.19,1 - NGSL,
merely,56.18,1 - NGSL,
resolution,56.18,1 - NGSL,
communicate,56.18,1 - NGSL,
injury,56.17,1 - NGSL,
vast,56.17,1 - NGSL,
exhibition,56.17,1 - NGSL,
producer,56.17,1 - NGSL,
regional,56.17,1 - NGSL,
immediate,56.16,1 - NGSL,
incident,56.16,1 - NGSL,
childhood,56.16,1 - NGSL,
draft,56.16,1 - NGSL,
slip,56.16,1 - NGSL,
accompany,56.16,1 - NGSL,
politician,56.15,1 - NGSL,
angry,56.15,1 - NGSL,
knock,56.15,1 - NGSL,
seed,56.15,1 - NGSL,
salary,56.15,1 - NGSL,
illustrate,56.13,1 - NGSL,
imply,56.13,1 - NGSL,
breakfast,56.13,1 - NGSL,
temporary,56.12,1 - NGSL,
liberal,56.12,1 - NGSL,
lake,56.11,1 - NGSL,
qualify,56.11,1 - NGSL,
competitive,56.10,1 - NGSL,
truly,56.09,1 - NGSL,
hi,56.08,1 - NGSL,
yellow,56.08,1 - NGSL,
habit,56.08,1 - NGSL,
disk,56.08,1 - NGSL,
core,56.08,1 - NGSL,
emotional,56.08,1 - NGSL,
aircraft,56.07,1 - NGSL,
self,56.07,1 - NGSL,
metal,56.07,1 - NGSL,
existence,56.07,1 - NGSL,
bone,56.06,1 - NGSL,
panel,56.05,1 - NGSL,
prime,56.05,1 - NGSL,
appointment,56.04,1 - NGSL,
emphasize,56.03,1 - NGSL,
maximum,56.03,1 - NGSL,
effectively,56.02,1 - NGSL,
elsewhere,56.01,1 - NGSL,
bother,56.01,1 - NGSL,
initiative,56.01,1 - NGSL,
sharp,56.01,1 - NGSL,
diet,56.00,1 - NGSL,
motion,56.00,1 - NGSL,
gray,56.00,1 - NGSL,
plastic,56.00,1 - NGSL,
complicate,55.99,1 - NGSL,
discipline,55.99,1 - NGSL,
disappoint,55.99,1 - NGSL,
boss,55.98,1 - NGSL,
assumption,55.98,1 - NGSL,
freeze,55.98,1 - NGSL,
extreme,55.98,1 - NGSL,
passage,55.98,1 - NGSL,
reputation,55.98,1 - NGSL,
forth,55.98,1 - NGSL,
negotiation,55.97,1 - NGSL,
mechanism,55.96,1 - NGSL,
coat,55.96,1 - NGSL,
democracy,55.96,1 - NGSL,
pocket,55.96,1 - NGSL,
lucky,55.96,1 - NGSL,
crash,55.96,1 - NGSL,
observation,55.96,1 - NGSL,
meat,55.95,1 - NGSL,
concentration,55.95,1 - NGSL,
implication,55.95,1 - NGSL,
deserve,55.94,1 - NGSL,
unusual,55.94,1 - NGSL,
defend,55.94,1 - NGSL,
classic,55.93,1 - NGSL,
king,55.93,1 - NGSL,
interaction,55.92,1 - NGSL,
repair,55.92,1 - NGSL,
collapse,55.92,1 - NGSL,
borrow,55.92,1 - NGSL,
fundamental,55.90,1 - NGSL,
dish,55.89,1 - NGSL,
abroad,55.89,1 - NGSL,
soul,55.89,1 - NGSL,
capable,55.88,1 - NGSL,
defeat,55.88,1 - NGSL,
presidential,55.87,1 - NGSL,
perfectly,55.87,1 - NGSL,
enhance,55.87,1 - NGSL,
proud,55.87,1 - NGSL,
emergency,55.87,1 - NGSL,
educational,55.87,1 - NGSL,
distinguish,55.86,1 - NGSL,
substantial,55.86,1 - NGSL,
nearby,55.85,1 - NGSL,
manufacturer,55.85,1 - NGSL,
slide,55.85,1 - NGSL,
valuable,55.85,1 - NGSL,
personally,55.85,1 - NGSL,
breast,55.85,1 - NGSL,
cope,55.83,1 - NGSL,
approximately,55.83,1 - NGSL,
accommodation,55.83,1 - NGSL,
highlight,55.83,1 - NGSL,
reporter,55.83,1 - NGSL,
climate,55.83,1 - NGSL,
shirt,55.82,1 - NGSL,
exception,55.82,1 - NGSL,
corporation,55.82,1 - NGSL,
chip,55.81,1 - NGSL,
winner,55.81,1 - NGSL,
encounter,55.81,1 - NGSL,
brown,55.81,1 - NGSL,
breathe,55.81,1 - NGSL,
excuse,55.80,1 - NGSL,
partly,55.80,1 - NGSL,
tennis,55.79,1 - NGSL,
urban,55.79,1 - NGSL,
confuse,55.79,1 - NGSL,
southern,55.79,1 - NGSL,
output,55.79,1 - NGSL,
beauty,55.79,1 - NGSL,
massive,55.79,1 - NGSL,
install,55.78,1 - NGSL,
calculate,55.78,1 - NGSL,
mouse,55.78,1 - NGSL,
mathematics,55.77,1 - NGSL,
upper,55.77,1 - NGSL,
creation,55.76,1 - NGSL,
occupy,55.76,1 - NGSL,
outline,55.76,1 - NGSL,
sufficient,55.76,1 - NGSL,
update,55.76,1 - NGSL,
luck,55.75,1 - NGSL,
preserve,55.75,1 - NGSL,
split,55.75,1 - NGSL,
swing,55.75,1 - NGSL,
illness,55.75,1 - NGSL,
journalist,55.75,1 - NGSL,
sudden,55.75,1 - NGSL,
advertisement,55.74,1 - NGSL,
consistent,55.74,1 - NGSL,
originally,55.73,1 - NGSL,
aside,55.73,1 - NGSL,
comfort,55.71,1 - NGSL,
secondly,55.71,1 - NGSL,
severe,55.70,1 - NGSL,
gene,55.70,1 - NGSL,
prospect,55.70,1 - NGSL,
snow,55.70,1 - NGSL,
plot,55.70,1 - NGSL,
neck,55.69,1 - NGSL,
criterion,55.67,1 - NGSL,
primarily,55.67,1 - NGSL,
integrate,55.67,1 - NGSL,
criticism,55.66,1 - NGSL,
convention,55.66,1 - NGSL,
bet,55.66,1 - NGSL,
retain,55.66,1 - NGSL,
sequence,55.66,1 - NGSL,
plain,55.65,1 - NGSL,
volunteer,55.64,1 - NGSL,
rural,55.64,1 - NGSL,
calm,55.64,1 - NGSL,
abandon,55.64,1 - NGSL,
examination,55.64,1 - NGSL,
silence,55.64,1 - NGSL,
rapidly,55.63,1 - NGSL,
efficient,55.62,1 - NGSL,
revolution,55.62,1 - NGSL,
delight,55.62,1 - NGSL,
spell,55.61,1 - NGSL,
premise,55.61,1 - NGSL,
lean,55.60,1 - NGSL,
dramatic,55.60,1 - NGSL,
differ,55.59,1 - NGSL,
grateful,55.59,1 - NGSL,
protein,55.59,1 - NGSL,
bike,55.59,1 - NGSL,
distribute,55.58,1 - NGSL,
intellectual,55.58,1 - NGSL,
derive,55.58,1 - NGSL,
crucial,55.58,1 - NGSL,
unemployment,55.57,1 - NGSL,
wheel,55.57,1 - NGSL,
crop,55.57,1 - NGSL,
minority,55.57,1 - NGSL,
origin,55.57,1 - NGSL,
interpretation,55.57,1 - NGSL,
gentleman,55.56,1 - NGSL,
drama,55.56,1 - NGSL,
landscape,55.56,1 - NGSL,
educate,55.56,1 - NGSL,
toy,55.55,1 - NGSL,
fault,55.55,1 - NGSL,
exhibit,55.55,1 - NGSL,
minor,55.54,1 - NGSL,
hunt,55.53,1 - NGSL,
storm,55.53,1 - NGSL,
thick,55.53,1 - NGSL,
achievement,55.53,1 - NGSL,
negotiate,55.53,1 - NGSL,
dominate,55.52,1 - NGSL,
supplier,55.51,1 - NGSL,
prize,55.51,1 - NGSL,
typically,55.51,1 - NGSL,
peer,55.51,1 - NGSL,
pension,55.51,1 - NGSL,
wing,55.51,1 - NGSL,
acquisition,55.51,1 - NGSL,
laughter,55.50,1 - NGSL,
deeply,55.50,1 - NGSL,
recognition,55.50,1 - NGSL,
electricity,55.50,1 - NGSL,
assistance,55.50,1 - NGSL,
roof,55.50,1 - NGSL,
retirement,55.50,1 - NGSL,
respectively,55.49,1 - NGSL,
variation,55.49,1 - NGSL,
ultimately,55.49,1 - NGSL,
proof,55.48,1 - NGSL,
soil,55.48,1 - NGSL,
smart,55.48,1 - NGSL,
layer,55.48,1 - NGSL,
upset,55.48,1 - NGSL,
tooth,55.47,1 - NGSL,
representation,55.47,1 - NGSL,
preparation,55.47,1 - NGSL,
dispute,55.47,1 - NGSL,
agenda,55.46,1 - NGSL,
emphasis,55.46,1 - NGSL,
edition,55.46,1 - NGSL,
silver,55.46,1 - NGSL,
entertainment,55.46,1 - NGSL,
honest,55.46,1 - NGSL,
undertake,55.44,1 - NGSL,
retail,55.44,1 - NGSL,
wire,55.44,1 - NGSL,
unlikely,55.44,1 - NGSL,
gay,55.43,1 - NGSL,
publication,55.43,1 - NGSL,
slight,55.43,1 - NGSL,
unknown,55.43,1 - NGSL,
framework,55.42,1 - NGSL,
zone,55.42,1 - NGSL,
restrict,55.42,1 - NGSL,
trace,55.41,1 - NGSL,
inch,55.41,1 - NGSL,
equivalent,55.41,1 - NGSL,
solid,55.39,1 - NGSL,
enterprise,55.39,1 - NGSL,
elderly,55.39,1 - NGSL,
owe,55.39,1 - NGSL,
governor,55.38,1 - NGSL,
uniform,55.38,1 - NGSL,
port,55.37,1 - NGSL,
pitch,55.37,1 - NGSL,
arrival,55.37,1 - NGSL,
contemporary,55.36,1 - NGSL,
gate,55.36,1 - NGSL,
ease,55.36,1 - NGSL,
beer,55.36,1 - NGSL,
specialist,55.35,1 - NGSL,
assure,55.35,1 - NGSL,
profile,55.35,1 - NGSL,
mood,55.34,1 - NGSL,
episode,55.34,1 - NGSL,
crack,55.33,1 - NGSL,
numerous,55.33,1 - NGSL,
submit,55.32,1 - NGSL,
symptom,55.32,1 - NGSL,
virtually,55.31,1 - NGSL,
era,55.31,1 - NGSL,
coverage,55.30,1 - NGSL,
tension,55.30,1 - NGSL,
cable,55.29,1 - NGSL,
sensitive,55.29,1 - NGSL,
nervous,55.29,1 - NGSL,
input,55.29,1 - NGSL,
isolate,55.28,1 - NGSL,
prisoner,55.27,1 - NGSL,
eliminate,55.27,1 - NGSL,
tight,55.27,1 - NGSL,
wet,55.27,1 - NGSL,
secondary,55.26,1 - NGSL,
welfare,55.26,1 - NGSL,
recruit,55.26,1 - NGSL,
exclude,55.25,1 - NGSL,
string,55.25,1 - NGSL,
cloud,55.25,1 - NGSL,
persuade,55.25,1 - NGSL,
inspire,55.24,1 - NGSL,
grand,55.24,1 - NGSL,
hence,55.24,1 - NGSL,
crew,55.23,1 - NGSL,
phenomenon,55.23,1 - NGSL,
pupil,55.23,1 - NGSL,
false,55.23,1 - NGSL,
assist,55.22,1 - NGSL,
restore,55.22,1 - NGSL,
formula,55.21,1 - NGSL,
alter,55.21,1 - NGSL,
perceive,55.20,1 - NGSL,
routine,55.20,1 - NGSL,
sink,55.19,1 - NGSL,
stare,55.19,1 - NGSL,
anymore,55.19,1 - NGSL,
hero,55.18,1 - NGSL,
supporter,55.18,1 - NGSL,
convert,55.18,1 - NGSL,
steady,55.18,1 - NGSL,
meter,55.17,1 - NGSL,
truck,55.17,1 - NGSL,
nose,55.17,1 - NGSL,
beside,55.17,1 - NGSL,
sail,55.17,1 - NGSL,
disaster,55.17,1 - NGSL,
pace,55.17,1 - NGSL,
heavily,55.17,1 - NGSL,
devote,55.16,1 - NGSL,
terrorist,55.16,1 - NGSL,
justify,55.16,1 - NGSL,
vital,55.16,1 - NGSL,
fascinate,55.16,1 - NGSL,
external,55.15,1 - NGSL,
spare,55.15,1 - NGSL,
whenever,55.15,1 - NGSL,
depression,55.14,1 - NGSL,
guilty,55.14,1 - NGSL,
underlie,55.14,1 - NGSL,
mom,55.14,1 - NGSL,
distinction,55.14,1 - NGSL,
satisfaction,55.14,1 - NGSL,
incorporate,55.14,1 - NGSL,
pour,55.14,1 - NGSL,
sweep,55.13,1 - NGSL,
obligation,55.13,1 - NGSL,
sir,55.12,1 - NGSL,
evaluate,55.11,1 - NGSL,
anger,55.10,1 - NGSL,
pub,55.10,1 - NGSL,
perception,55.10,1 - NGSL,
naturally,55.09,1 - NGSL,
currency,55.09,1 - NGSL,
database,55.09,1 - NGSL,
initially,55.09,1 - NGSL,
territory,55.08,1 - NGSL,
stream,55.08,1 - NGSL,
rarely,55.08,1 - NGSL,
height,55.07,1 - NGSL,
apparent,55.07,1 - NGSL,
western,55.07,1 - NGSL,
expansion,55.06,1 - NGSL,
constantly,55.06,1 - NGSL,
muscle,55.06,1 - NGSL,
scare,55.06,1 - NGSL,
badly,55.05,1 - NGSL,
everyday,55.05,1 - NGSL,
boundary,55.05,1 - NGSL,
ratio,55.05,1 - NGSL,
essay,55.05,1 - NGSL,
scream,55.04,1 - NGSL,
withdraw,55.03,1 - NGSL,
pollution,55.03,1 - NGSL,
disorder,55.03,1 - NGSL,
furniture,55.02,1 - NGSL,
symbol,55.01,1 - NGSL,
apartment,55.01,1 - NGSL,
demonstration,55.01,1 - NGSL,
analyst,55.00,1 - NGSL,
platform,54.99,1 - NGSL,
steel,54.99,1 - NGSL,
cake,54.99,1 - NGSL,
transform,54.99,1 - NGSL,
wound,54.98,1 - NGSL,
restriction,54.98,1 - NGSL,
foundation,54.98,1 - NGSL,
designer,54.98,1 - NGSL,
strain,54.98,1 - NGSL,
innovation,54.97,1 - NGSL,
album,54.97,1 - NGSL,
singer,54.97,1 - NGSL,
trail,54.96,1 - NGSL,
trap,54.96,1 - NGSL,
loose,54.96,1 - NGSL,
extension,54.95,1 - NGSL,
wealth,54.95,1 - NGSL,
gradually,54.95,1 - NGSL,
tank,54.95,1 - NGSL,
evil,54.94,1 - NGSL,
remarkable,54.94,1 - NGSL,
tune,54.94,1 - NGSL,
grass,54.94,1 - NGSL,
invitation,54.94,1 - NGSL,
transition,54.94,1 - NGSL,
frighten,54.93,1 - NGSL,
bid,54.93,1 - NGSL,
breed,54.93,1 - NGSL,
extraordinary,54.93,1 - NGSL,
brilliant,54.93,1 - NGSL,
adviser,54.93,1 - NGSL,
stem,54.93,1 - NGSL,
reverse,54.92,1 - NGSL,
mode,54.92,1 - NGSL,
mirror,54.92,1 - NGSL,
awful,54.92,1 - NGSL,
pose,54.92,1 - NGSL,
adjust,54.92,1 - NGSL,
creative,54.91,1 - NGSL,
nowadays,54.91,1 - NGSL,
poem,54.91,1 - NGSL,
agricultural,54.91,1 - NGSL,
competitor,54.91,1 - NGSL,
alcohol,54.91,1 - NGSL,
festival,54.90,1 - NGSL,
vegetable,54.90,1 - NGSL,
van,54.90,1 - NGSL,
confident,54.90,1 - NGSL,
planet,54.88,1 - NGSL,
curve,54.88,1 - NGSL,
knee,54.88,1 - NGSL,
overcome,54.88,1 - NGSL,
web,54.87,1 - NGSL,
depth,54.87,1 - NGSL,
entrance,54.86,1 - NGSL,
log,54.86,1 - NGSL,
giant,54.86,1 - NGSL,
god,54.85,1 - NGSL,
portion,54.85,1 - NGSL,
substance,54.85,1 - NGSL,
extensive,54.85,1 - NGSL,
interpret,54.84,1 - NGSL,
independence,54.83,1 - NGSL,
sugar,54.83,1 - NGSL,
inner,54.83,1 - NGSL,
harm,54.82,1 - NGSL,
consult,54.82,1 - NGSL,
pink,54.81,1 - NGSL,
shadow,54.81,1 - NGSL,
strip,54.81,1 - NGSL,
smooth,54.81,1 - NGSL,
intervention,54.81,1 - NGSL,
impress,54.81,1 - NGSL,
exam,54.81,1 - NGSL,
vice,54.81,1 - NGSL,
radical,54.80,1 - NGSL,
similarly,54.80,1 - NGSL,
behave,54.80,1 - NGSL,
loud,54.80,1 - NGSL,
dimension,54.80,1 - NGSL,
subsequent,54.79,1 - NGSL,
infection,54.79,1 - NGSL,
jacket,54.78,1 - NGSL,
efficiency,54.78,1 - NGSL,
dirty,54.78,1 - NGSL,
statistic,54.78,1 - NGSL,
regularly,54.78,1 - NGSL,
resort,54.78,1 - NGSL,
iron,54.77,1 - NGSL,
broadcast,54.77,1 - NGSL,
membership,54.77,1 - NGSL,
bread,54.77,1 - NGSL,
blind,54.77,1 - NGSL,
pure,54.76,1 - NGSL,
bloody,54.76,1 - NGSL,
ally,54.76,1 - NGSL,
quantity,54.76,1 - NGSL,
bend,54.76,1 - NGSL,
mature,54.75,1 - NGSL,
briefly,54.75,1 - NGSL,
alarm,54.75,1 - NGSL,
disturb,54.74,1 - NGSL,
sustain,54.74,1 - NGSL,
flood,54.74,1 - NGSL,
poverty,54.73,1 - NGSL,
crazy,54.73,1 - NGSL,
cite,54.73,1 - NGSL,
newly,54.72,1 - NGSL,
parallel,54.72,1 - NGSL,
gender,54.72,1 - NGSL,
sponsor,54.72,1 - NGSL,
boot,54.71,1 - NGSL,
accurate,54.70,1 - NGSL,
dealer,54.69,1 - NGSL,
button,54.69,1 - NGSL,
burden,54.69,1 - NGSL,
desert,54.69,1 - NGSL,
mate,54.69,1 - NGSL,
occasionally,54.68,1 - NGSL,
shareholder,54.68,1 - NGSL,
bowl,54.67,1 - NGSL,
discovery,54.67,1 - NGSL,
resistance,54.67,1 - NGSL,
bath,54.66,1 - NGSL,
frequency,54.66,1 - NGSL,
criticize,54.66,1 - NGSL,
tap,54.65,1 - NGSL,
philosophy,54.65,1 - NGSL,
lip,54.64,1 - NGSL,
attribute,54.64,1 - NGSL,
apologize,54.64,1 - NGSL,
approval,54.63,1 - NGSL,
grab,54.63,1 - NGSL,
entitle,54.63,1 - NGSL,
lend,54.63,1 - NGSL,
involvement,54.63,1 - NGSL,
exposure,54.63,1 - NGSL,
conventional,54.62,1 - NGSL,
digital,54.62,1 - NGSL,
translate,54.61,1 - NGSL,
edit,54.60,1 - NGSL,
formation,54.60,1 - NGSL,
deposit,54.60,1 - NGSL,
pleasant,54.58,1 - NGSL,
overseas,54.58,1 - NGSL,
advocate,54.58,1 - NGSL,
establishment,54.57,1 - NGSL,
summary,54.56,1 - NGSL,
rough,54.56,1 - NGSL,
pen,54.55,1 - NGSL,
recovery,54.55,1 - NGSL,
seal,54.55,1 - NGSL,
tube,54.55,1 - NGSL,
tower,54.54,1 - NGSL,
characterize,54.54,1 - NGSL,
specify,54.53,1 - NGSL,
exact,54.52,1 - NGSL,
spin,54.52,1 - NGSL,
operator,54.51,1 - NGSL,
infant,54.51,1 - NGSL,
dig,54.50,1 - NGSL,
drag,54.50,1 - NGSL,
mount,54.50,1 - NGSL,
wrap,54.50,1 - NGSL,
anticipate,54.50,1 - NGSL,
dependent,54.50,1 - NGSL,
specialize,54.50,1 - NGSL,
angle,54.49,1 - NGSL,
chicken,54.49,1 - NGSL,
anxiety,54.49,1 - NGSL,
virus,54.48,1 - NGSL,
precisely,54.48,1 - NGSL,
rival,54.48,1 - NGSL,
offense,54.48,1 - NGSL,
detect,54.48,1 - NGSL,
teenager,54.47,1 - NGSL,
admire,54.47,1 - NGSL,
moderate,54.46,1 - NGSL,
surgery,54.46,1 - NGSL,
musician,54.46,1 - NGSL,
significance,54.46,1 - NGSL,
shower,54.45,1 - NGSL,
illegal,54.45,1 - NGSL,
charity,54.44,1 - NGSL,
universal,54.44,1 - NGSL,
cigarette,54.44,1 - NGSL,
constitute,54.44,1 - NGSL,
adequate,54.44,1 - NGSL,
consultant,54.44,1 - NGSL,
historian,54.44,1 - NGSL,
cousin,54.43,1 - NGSL,
visual,54.43,1 - NGSL,
stupid,54.43,1 - NGSL,
keen,54.42,1 - NGSL,
ethnic,54.41,1 - NGSL,
twin,54.41,1 - NGSL,
clinical,54.41,1 - NGSL,
eastern,54.40,1 - NGSL,
forecast,54.40,1 - NGSL,
segment,54.40,1 - NGSL,
custom,54.40,1 - NGSL,
adapt,54.40,1 - NGSL,
sand,54.39,1 - NGSL,
cap,54.39,1 - NGSL,
prompt,54.38,1 - NGSL,
charm,54.38,1 - NGSL,
react,54.38,1 - NGSL,
lecture,54.37,1 - NGSL,
venture,54.37,1 - NGSL,
compound,54.37,1 - NGSL,
rescue,54.37,1 - NGSL,
mess,54.36,1 - NGSL,
preference,54.36,1 - NGSL,
comprehensive,54.35,1 - NGSL,
incentive,54.35,1 - NGSL,
league,54.33,1 - NGSL,
dialog,54.33,1 - NGSL,
cream,54.33,1 - NGSL,
rapid,54.32,1 - NGSL,
cancel,54.32,1 - NGSL,
regret,54.32,1 - NGSL,
dismiss,54.32,1 - NGSL,
margin,54.32,1 - NGSL,
beneath,54.32,1 - NGSL,
opponent,54.31,1 - NGSL,
resist,54.30,1 - NGSL,
capability,54.30,1 - NGSL,
absolute,54.30,1 - NGSL,
correspond,54.30,1 - NGSL,
stroke,54.30,1 - NGSL,
dare,54.30,1 - NGSL,
barrier,54.30,1 - NGSL,
rid,54.29,1 - NGSL,
divorce,54.27,1 - NGSL,
ruin,54.26,1 - NGSL,
bury,54.26,1 - NGSL,
counsel,54.26,1 - NGSL,
tendency,54.26,1 - NGSL,
frequent,54.26,1 - NGSL,
motor,54.25,1 - NGSL,
survival,54.25,1 - NGSL,
counter,54.25,1 - NGSL,
possess,54.25,1 - NGSL,
permission,54.24,1 - NGSL,
valley,54.24,1 - NGSL,
float,54.24,1 - NGSL,
mad,54.24,1 - NGSL,
greatly,54.23,1 - NGSL,
visible,54.23,1 - NGSL,
electric,54.23,1 - NGSL,
impressive,54.22,1 - NGSL,
evolution,54.21,1 - NGSL,
awareness,54.21,1 - NGSL,
violent,54.21,1 - NGSL,
slave,54.21,1 - NGSL,
wealthy,54.21,1 - NGSL,
architecture,54.21,1 - NGSL,
acceptable,54.21,1 - NGSL,
journal,54.21,1 - NGSL,
coal,54.21,1 - NGSL,
measurement,54.21,1 - NGSL,
random,54.21,1 - NGSL,
successfully,54.19,1 - NGSL,
depress,54.19,1 - NGSL,
illustration,54.18,1 - NGSL,
burst,54.18,1 - NGSL,
privilege,54.18,1 - NGSL,
buyer,54.18,1 - NGSL,
mutual,54.18,1 - NGSL,
rail,54.17,1 - NGSL,
motivate,54.16,1 - NGSL,
laboratory,54.15,1 - NGSL,
mortgage,54.15,1 - NGSL,
promotion,54.14,1 - NGSL,
passion,54.14,1 - NGSL,
champion,54.13,1 - NGSL,
fulfill,54.13,1 - NGSL,
dust,54.13,1 - NGSL,
dedicate,54.12,1 - NGSL,
roughly,54.12,1 - NGSL,
skirt,54.12,1 - NGSL,
province,54.12,1 - NGSL,
march,54.11,1 - NGSL,
evaluation,54.11,1 - NGSL,
compromise,54.11,1 - NGSL,
accomplish,54.11,1 - NGSL,
weakness,54.11,1 - NGSL,
announcement,54.11,1 - NGSL,
salt,54.11,1 - NGSL,
glance,54.10,1 - NGSL,
opera,54.10,1 - NGSL,
contest,54.10,1 - NGSL,
brush,54.10,1 - NGSL,
embarrass,54.09,1 - NGSL,
gallery,54.09,1 - NGSL,
genetic,54.09,1 - NGSL,
aggressive,54.09,1 - NGSL,
chest,54.09,1 - NGSL,
format,54.08,1 - NGSL,
literary,54.08,1 - NGSL,
govern,54.08,1 - NGSL,
embrace,54.06,1 - NGSL,
praise,54.05,1 - NGSL,
silent,54.05,1 - NGSL,
pump,54.04,1 - NGSL,
publisher,54.04,1 - NGSL,
celebration,54.04,1 - NGSL,
golf,54.04,1 - NGSL,
compensation,54.04,1 - NGSL,
classical,54.04,1 - NGSL,
weigh,54.03,1 - NGSL,
versus,54.03,1 - NGSL,
deficit,54.02,1 - NGSL,
modify,54.02,1 - NGSL,
flash,54.02,1 - NGSL,
friendship,54.02,1 - NGSL,
profession,54.01,1 - NGSL,
literally,54.01,1 - NGSL,
equation,54.01,1 - NGSL,
gesture,54.01,1 - NGSL,
entertain,54.00,1 - NGSL,
fantastic,54.00,1 - NGSL,
assign,54.00,1 - NGSL,
inflation,54.00,1 - NGSL,
historic,54.00,1 - NGSL,
injure,53.98,1 - NGSL,
remote,53.98,1 - NGSL,
therapy,53.97,1 - NGSL,
orange,53.97,1 - NGSL,
twist,53.97,1 - NGSL,
personnel,53.97,1 - NGSL,
imagination,53.96,1 - NGSL,
disagree,53.96,1 - NGSL,
throat,53.95,1 - NGSL,
insight,53.94,1 - NGSL,
tackle,53.94,1 - NGSL,
forever,53.93,1 - NGSL,
exceed,53.93,1 - NGSL,
expenditure,53.93,1 - NGSL,
joy,53.92,1 - NGSL,
pregnant,53.91,1 - NGSL,
reliable,53.91,1 - NGSL,
gear,53.91,1 - NGSL,
poet,53.91,1 - NGSL,
fortune,53.91,1 - NGSL,
ceremony,53.90,1 - NGSL,
pile,53.90,1 - NGSL,
pig,53.89,1 - NGSL,
mixture,53.89,1 - NGSL,
automatically,53.88,1 - NGSL,
scholar,53.87,1 - NGSL,
psychological,53.87,1 - NGSL,
dramatically,53.87,1 - NGSL,
stake,53.87,1 - NGSL,
creature,53.87,1 - NGSL,
partnership,53.87,1 - NGSL,
participation,53.86,1 - NGSL,
clause,53.86,1 - NGSL,
penalty,53.86,1 - NGSL,
chamber,53.86,1 - NGSL,
fancy,53.86,1 - NGSL,
poetry,53.86,1 - NGSL,
chat,53.85,1 - NGSL,
clothing,53.85,1 - NGSL,
evolve,53.85,1 - NGSL,
sake,53.85,1 - NGSL,
shelf,53.84,1 - NGSL,
boost,53.84,1 - NGSL,
tail,53.83,1 - NGSL,
possession,53.83,1 - NGSL,
abortion,53.83,1 - NGSL,
curious,53.83,1 - NGSL,
wooden,53.82,1 - NGSL,
boom,53.82,1 - NGSL,
tale,53.82,1 - NGSL,
democratic,53.81,1 - NGSL,
maintenance,53.80,1 - NGSL,
consequently,53.80,1 - NGSL,
pot,53.80,1 - NGSL,
cow,53.79,1 - NGSL,
strengthen,53.79,1 - NGSL,
whilst,53.79,1 - NGSL,
constraint,53.79,1 - NGSL,
fold,53.79,1 - NGSL,
bin,53.79,1 - NGSL,
undergo,53.79,1 - NGSL,
potentially,53.78,1 - NGSL,
scope,53.78,1 - NGSL,
pretend,53.78,1 - NGSL,
diversity,53.77,1 - NGSL,
allege,53.77,1 - NGSL,
pride,53.76,1 - NGSL,
intense,53.76,1 - NGSL,
inquiry,53.75,1 - NGSL,
resign,53.75,1 - NGSL,
craft,53.75,1 - NGSL,
strict,53.75,1 - NGSL,
concrete,53.74,1 - NGSL,
shell,53.74,1 - NGSL,
damn,53.72,1 - NGSL,
distinct,53.72,1 - NGSL,
humor,53.71,1 - NGSL,
limitation,53.71,1 - NGSL,
indication,53.71,1 - NGSL,
stability,53.70,1 - NGSL,
wise,53.70,1 - NGSL,
neglect,53.70,1 - NGSL,
compose,53.70,1 - NGSL,
jail,53.70,1 - NGSL,
shelter,53.69,1 - NGSL,
mere,53.69,1 - NGSL,
carbon,53.69,1 - NGSL,
regulate,53.69,1 - NGSL,
cheese,53.68,1 - NGSL,
trigger,53.68,1 - NGSL,
pipe,53.67,1 - NGSL,
destruction,53.67,1 - NGSL,
guitar,53.67,1 - NGSL,
flag,53.67,1 - NGSL,
piano,53.66,1 - NGSL,
magic,53.66,1 - NGSL,
mystery,53.66,1 - NGSL,
ski,53.66,1 - NGSL,
whisper,53.65,1 - NGSL,
rear,53.65,1 - NGSL,
menu,53.65,1 - NGSL,
species,53.64,1 - NGSL,
moon,53.64,1 - NGSL,
presumably,53.64,1 - NGSL,
